dbh,n,cl,sp,time,ca_ind,ca_cohort,cumca
30.375000000000004,0.302788697265213,1,6,45,27.49374646140929,8.32479567399018,6234.655213124815
24.666666666666664,1.3955602560875608,1,1,45,27.17863288433669,37.92941986817471,6272.58463299299
29.1,18.684466280282827,1,7,45,25.916301679442896,484.23226483918796,6756.816897832178
15.27941176470589,16.545835044505996,1,3,45,24.846668150816733,411.1088726289945,7167.925770461173
22.208333333333332,1.6369155306709111,1,1,45,24.65927671048405,40.36515302250284,7208.290923483675
19.75,1.9200120115655634,1,1,45,22.33975160912663,42.89259142491425,7251.183514908589
13.56617647058824,17.077026060006965,1,3,45,22.230358029672086,379.6284033959953,7630.811918304585
25.333333333333336,12.102047487709717,1,6,45,21.69172686123615,262.5143085651083,7893.326226869693
18.437500000000004,0.17058950108538862,1,2,45,21.179611249860404,3.61301931629617,7896.939246185989
17.291666666666668,2.252068634870306,1,1,45,20.209654872743567,45.513529860459634,7942.452776046449
11.852941176470592,17.625270545108588,1,3,45,19.705505163662515,347.3148597375861,8289.767635784036
16.500000000000004,2.487563021435442,1,2,45,19.56223015757776,48.662280356799656,8338.429916140834
22.791666666666668,13.820062328010403,1,6,45,19.185950681280872,265.1510342374353,8603.58095037827
15.062500000000002,3.0276991971312075,1,2,45,18.432776427131994,55.80890238932658,8659.389852767596
14.833333333333336,2.6415528161363353,1,1,45,18.258099832589988,48.229735030076434,8707.619587797672
13.625000000000002,3.6851176630770084,1,2,45,17.36092367885384,63.97704649627617,8771.596634293948
10.139705882352944,18.191115988034376,1,3,45,17.27237423467634,314.20376309173383,9085.800397385681
20.25,15.781967716128793,1,6,45,16.93542067616282,267.2742623702617,9353.074659755943
12.375000000000002,3.098396368741065,1,1,45,16.473960329728417,51.04285886441488,9404.117518620358
12.187500000000002,4.485284470659932,1,2,45,16.344435823733512,73.3094441818898,9477.426962802248
10.750000000000002,5.459195233930512,1,2,45,15.381083565029337,83.96833809089509,9561.395300893144
8.613636363636362,19.03151418026998,1,3,45,15.182203610407718,288.94032329922055,9850.335624192365
6.96875,0.012796270819304612,1,4,45,15.155986538012844,0.1939401082741473,9850.52956430064
6.6875,0.02718620888201387,1,4,45,15.08263214249909,0.41003958791655665,9850.939603888555
8.520053475935828,0.294473952479276,1,3,45,15.05638755783513,4.433713954215504,9855.37331784277
6.40625,0.0577582300197562,1,4,45,15.010366554574372,0.8669722041399619,9856.24029004691
6.125,0.12270975881532858,1,4,45,14.939174281556937,1.8331824729900115,9858.0734725199
17.710897435897433,3.4957815196813895,1,6,45,14.922126961213445,52.16449566534937,9910.237968185249
17.708333333333332,6.016138960670315,1,6,45,14.920205866513061,89.76203181475103,10000
17.708333333333332,8.88594135345822,2,6,45,14.920205866513061,132.58007431135835,10132.580074311358
5.84375,0.2607019796722585,2,4,45,14.869040031074718,3.876388171927239,10136.456462483286
9.916666666666668,3.634248764281509,2,1,45,14.84607675439623,53.95433609909294,10190.41079858238
5.5625,0.5538721847487211,2,4,45,14.79994870909059,8.197279925673019,10198.608078508052
5.28125,1.1767244630208904,2,4,45,14.731885417927204,17.335369957695676,10215.943448465749
5,2.5,2,4,45,14.664835454292188,36.66208863573047,10252.605537101479
9.312500000000002,6.644575789366743,2,2,45,14.468655254348558,96.13807640773835,10348.743613509218
15.174358974358972,0.656087852841789,2,6,45,13.12569584933536,8.61160960684482,10357.355223116063
15.17179487179487,25.246354626386974,2,6,45,13.123982028826848,331.3327044100922,10688.687927526154
7.012500000000001,8.23976849747707,2,2,45,13.109252268017453,108.01720386349005,10796.705131389645
6.986111111111111,4.416786157114806,2,1,45,13.094345020192787,57.834921821672694,10854.540053211318
6.806818181818181,19.662304152554277,2,3,45,12.80101859947127,251.6975211653085,11106.237574376626
5.575,10.028907910828497,2,2,45,12.319093662434772,123.5470558854293,11229.784630262055
5,5,2,1,45,12.015252786409222,60.07626393204611,11289.8608941941
5,11.9807266571168,2,2,45,12.015252786409222,143.95145935012988,11433.81235354423
13.095588235294116,23.143785433283483,2,7,45,11.800156239721689,273.10028409134003,11706.91263763557
12.632692307692306,33.04880798273015,2,6,45,11.521845507584741,380.7832597868501,12087.695897422422
5,20,2,3,45,10.520338646074585,210.4067729214917,12298.102670343913
10.397058823529411,29.41174550311776,2,7,45,10.258880257721687,301.7315752870694,12599.834245630982
10.088461538461537,33.68680955480862,2,6,45,10.094693227738661,340.0580082770486,12939.89225390803
7.698529411764706,37.377237878127026,2,7,45,8.901054582561146,332.69683449858064,13272.58908840661
7.544230769230769,34.33712763785436,2,6,45,8.828548260278456,303.1469884701384,13575.736076876748
5,47.5,2,7,45,7.707148206789541,366.0895398225032,13941.825616699252
5,35,2,6,45,7.707148206789541,269.75018723763395,14211.575803936887
127.74305555555557,0.18295300204372572,1,5,50,236.34448564298202,43.23993316486379,43.23993316486379
126.74305555555557,0.18295300204372572,1,5,50,235.6136482019401,43.10622426101922,86.346157425883
100.74305555555557,0.18295300204372572,1,5,50,199.12589243748732,36.43067980607432,122.77683723195733
97.75000000000003,0.09704378297282831,1,7,50,169.7375735050648,16.47197624556,139.24881347751733
86.74305555555557,0.18295300204372572,1,5,50,161.53547789165228,29.55340061684567,168.802214094363
90.75000000000001,0.09704378297282831,1,7,50,159.0141247272638,15.431332209646841,184.23354630400985
80.75,0.09704378297282831,1,7,50,139.2311441966392,13.51151694047722,197.74506324448706
79.74305555555557,0.18295300204372572,1,5,50,139.04002331355093,25.437789669443756,223.18285291393082
82.875,0.14015663615038584,1,2,50,136.81668843409835,19.175766820158625,242.35861973408944
78.75,0.09704378297282831,1,7,50,134.6835774149504,13.070203856660568,255.42882359075
67.63235294117646,1.4581240952707855,1,3,50,128.68145769299267,187.6335340767208,443.0623576674708
66.63235294117646,0.7290620476353927,1,3,50,126.81881937767646,92.45878813419182,535.5211458016627
74.75,0.09704378297282831,1,7,50,125.09702110931096,12.139888167079295,547.661033968742
65.63235294117645,0.7290620476353927,1,3,50,124.93067503133082,91.08221375081388,638.7432477195559
